retrieved_utc,source_url,rows
2026-08-17T07:51:42.246115+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-03-17&endDate=2025-03-26&gameTypes=R,2
2026-08-17T07:51:43.473280+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-03-27&endDate=2025-04-05&gameTypes=R (chunk 0),24
2026-08-17T07:51:44.698266+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-06&endDate=2025-04-15&gameTypes=R (chunk 0),24
2026-08-17T07:56:32.983810+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-03-27&endDate=2025-04-05&gameTypes=R (chunks 1-5),102
2026-08-17T08:08:45.518123+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-06&endDate=2025-04-15&gameTypes=R (chunks 1-2),49
2026-08-17T08:10:39.836981+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-06&endDate=2025-04-15&gameTypes=R (chunks 3-5),58
2026-08-17T08:12:32.206789+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-16&endDate=2025-04-25&gameTypes=R (chunks 0-2),73
2026-08-17T08:13:36.994870+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-16&endDate=2025-04-25&gameTypes=R (chunk 3),25
2026-08-17T08:14:22.625598+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-16&endDate=2025-04-25&gameTypes=R (chunk 4),24
2026-08-17T08:14:42.842125+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-16&endDate=2025-04-25&gameTypes=R (chunk 5),7
2026-08-17T08:16:42.455730+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-26&endDate=2025-05-05&gameTypes=R (chunk 0),24
2026-08-17T08:17:10.300629+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-26&endDate=2025-05-05&gameTypes=R (chunk 1),24
2026-08-17T08:17:49.165038+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-26&endDate=2025-05-05&gameTypes=R (chunk 2),24
2026-08-17T08:18:22.158593+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-26&endDate=2025-05-05&gameTypes=R (chunk 3),25
2026-08-17T08:19:04.392814+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-26&endDate=2025-05-05&gameTypes=R (chunk 4),24
2026-08-17T08:19:41.987511+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-04-26&endDate=2025-05-05&gameTypes=R (chunk 5),14
2026-08-17T08:27:09.435013+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-06&endDate=2025-05-15&gameTypes=R (chunk 0),24
2026-08-17T08:27:36.677368+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-06&endDate=2025-05-15&gameTypes=R (chunk 1),24
2026-08-17T08:28:32.373881+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-06&endDate=2025-05-15&gameTypes=R (chunk 2),25
2026-08-17T08:29:01.971319+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-06&endDate=2025-05-15&gameTypes=R (chunk 3),25
2026-08-17T08:29:48.467181+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-06&endDate=2025-05-15&gameTypes=R (chunk 4),23
2026-08-17T08:30:27.307897+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-06&endDate=2025-05-15&gameTypes=R (chunk 5),10
2026-08-17T08:31:04.419247+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-16&endDate=2025-05-25&gameTypes=R (chunk 0),24
2026-08-17T08:32:26.335323+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-16&endDate=2025-05-25&gameTypes=R (chunk 1),25
2026-08-17T08:37:53.345605+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-16&endDate=2025-05-25&gameTypes=R (chunk 2),24
2026-08-17T08:38:32.479413+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-16&endDate=2025-05-25&gameTypes=R (chunk 3),22
2026-08-17T08:39:03.252359+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-16&endDate=2025-05-25&gameTypes=R (chunk 4),25
2026-08-17T08:39:39.011535+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-16&endDate=2025-05-25&gameTypes=R (chunk 5),19
2026-08-17T08:40:54.822710+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-26&endDate=2025-06-04&gameTypes=R (chunk 0),24
2026-08-17T08:41:44.119393+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-26&endDate=2025-06-04&gameTypes=R (chunk 1),24
2026-08-17T08:42:45.649386+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-26&endDate=2025-06-04&gameTypes=R (chunk 2),25
2026-08-17T08:43:23.795556+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-26&endDate=2025-06-04&gameTypes=R (chunk 3),25
2026-08-17T08:44:01.297105+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-26&endDate=2025-06-04&gameTypes=R (chunk 4),25
2026-08-17T08:44:44.539212+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-05-26&endDate=2025-06-04&gameTypes=R (chunk 5),4
2026-08-17T08:46:22.730488+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 0),24
2026-08-17T08:46:53.692130+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 1),24
2026-08-17T08:47:31.816283+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 2),25
2026-08-17T08:48:02.697137+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 3),25
2026-08-17T08:49:07.694446+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 4),25
2026-08-17T08:49:44.008220+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 5),12
2026-08-17T09:04:09.178903+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 0),24
2026-08-17T09:04:50.771032+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 1),25
